building,unit,beds,baths,sqft
The Journal,0707,1,1.0,954
The Journal,0708,0,1.0,524
The Journal,0803,3,2,1153
The Journal,0810,0,1.0,497
The Journal,0813,1,1,696
The Journal,0902,0,1,387
The Journal,0906,3,2,1374
The Journal,0913,1,1,696
The Journal,0919,0,1,567
The Journal,1001,2,2,1199
The Journal,1002,0,1,387
The Journal,1003,3,2,1153
The Journal,1004,0,1,461
The Journal,1005,1,1.0,855
The Journal,1006,3,2,1305
The Journal,1008,0,1,422
The Journal,1009,0,1,411
The Journal,1011,0,1,400
The Journal,1017,1,1,831
The Journal,1022,0,1.0,484
The Journal,1303N,0,1,474
The Journal,1304N,0,1,434
The Journal,1305N,1,1.0,733
The Journal,1309S,1,1,707
The Journal,1310S,1,1,651
The Journal,1311S,1,1,731
The Journal,1312S,1,1.0,763
The Journal,1313N,1,1.0,616
The Journal,1313S,1,1,616
The Journal,1314N,2,2.0,1096
The Journal,1314S,2,2,989
The Journal,1315S,0,1,405
The Journal,1403S,0,1,461
The Journal,1404N,0,1.0,
The Journal,1404S,0,1,430
The Journal,1408N,0,1.0,468
The Journal,1409N,1,1.0,
The Journal,1409S,1,1.0,700
The Journal,1411S,1,1.0,733
The Journal,1413S,1,1.0,616
The Journal,1414S,2,2.0,989
The Journal,1415N,0,1.0,405
The Journal,1502S,1,1,730
The Journal,1503S,0,1.0,461
The Journal,1510S,1,1,650
The Journal,1511N,1,1,733
The Journal,1514S,2,2,989
The Journal,1515N,0,1.0,405
The Journal,1602N,1,1,730
The Journal,1605S,1,1,727
The Journal,1607S,2,2,1032
The Journal,1608N,0,1.0,468
The Journal,1608S,0,1,468
The Journal,1611N,1,1.0,733
The Journal,1611S,1,1.0,733
The Journal,1612N,1,1,763
The Journal,1701S,1,1,837
The Journal,1702S,1,1,730
The Journal,1705S,1,1,727
The Journal,1706S,1,1.0,660
The Journal,1707S,2,2,1032
The Journal,1708S,0,1,469
The Journal,1709S,1,1,707
The Journal,1801S,1,1.0,843
The Journal,1805S,1,1.0,727
The Journal,1807S,2,2.0,1032
The Journal,1808S,0,1.0,469
The Journal,1814N,2,2,989
The Journal,1901N,1,1,843
The Journal,1904S,0,1,430
The Journal,1908N,0,1,469
The Journal,1909S,1,1,707
The Journal,1912N,1,1,763
The Journal,1912S,1,1,763
The Journal,1914S,2,2,989
The Journal,1915N,0,1.0,
The Journal,2013N,1,1.0,
The Journal,2015N,0,1,405
The Journal,2105S,1,1,727
The Journal,2106N,1,1.0,660
The Journal,2108N,0,1,469
The Journal,2109S,1,1,707
The Journal,2114N,2,2,989
The Journal,2202N,1,1.0,730
The Journal,2204N,0,1,430
The Journal,2209S,1,1,707
The Journal,2211N,1,1,733
The Journal,2211S,1,1,733
The Journal,2212N,1,1,763
The Journal,2215N,0,1.0,
The Journal,2303N,0,1.0,461
The Journal,2307N,2,2,1032
The Journal,2309N,1,1,707
The Journal,2309S,1,1.0,707
The Journal,2315N,0,1,405
The Journal,2402N,1,1,730
The Journal,2405N,1,1.0,727
The Journal,2502N,1,1,730
The Journal,2503N,0,1,461
The Journal,2503S,0,1,461
The Journal,2506S,1,1.0,660
The Journal,2507S,2,2.0,
The Journal,2508N,0,1,475
The Journal,2511S,1,1,741
The Journal,2514S,2,2,989
The Journal,2602N,1,1,730
The Journal,2603S,0,1,461
The Journal,2605N,1,1,727
The Journal,2607S,2,2.0,1032
The Journal,2611N,1,1,741
The Journal,2612N,1,1.0,763
The Journal,2613N,1,1,616
The Journal,2614S,2,2,989
The Journal,2703S,0,1.0,
The Journal,2704N,0,1.0,
The Journal,2706N,1,1,660
The Journal,2709N,1,1,711
The Journal,2710S,1,1,663
The Journal,2804N,0,1.0,
The Journal,2805N,1,1,727
The Journal,2807N,2,2,1032
The Journal,2808N,0,1,475
The Journal,2809N,1,1,711
The Journal,2810N,1,1,663
The Journal,2810S,1,1.0,663
The Journal,2815N,0,1,405
The Journal,2903N,0,1,461
The Journal,2904N,0,1,430
The Journal,2906N,1,1,660
The Journal,2908S,0,1,475
The Journal,2909S,1,1,711
The Journal,2911S,1,1.0,
The Journal,2914N,2,2,989
The Journal,3004N,0,1.0,430
The Journal,3009N,1,1.0,
The Journal,3009S,1,1,711
The Journal,3011N,1,1,741
The Journal,3012N,1,1.0,763
The Journal,3014N,2,2,989
The Journal,3015N,0,1,405
The Journal,3105N,1,1,727
The Journal,3109S,1,1,711
The Journal,3203N,0,1,461
The Journal,3208S,0,1.0,
The Journal,3209S,1,1,711
The Journal,3301S,1,1,851
The Journal,3305S,1,1,727
The Journal,3308N,0,1,461
The Journal,3309S,1,1.0,711
The Journal,3313N,1,1,616
The Journal,3315N,0,1,405
The Journal,3406S,1,1,660
The Journal,3407S,2,2,1034
The Journal,3412S,1,1,1117
The Journal,3415S,0,1.0,375
The Journal,3501S,1,1,882
The Journal,3503S,0,1,461
The Journal,3512S,1,1,763
The Journal,3513S,1,1,616
The Journal,3514S,2,2,989
The Journal,3601N,1,1,872
The Journal,3601S,1,1.0,
The Journal,3605N,1,1,727
The Journal,3614S,2,2,989
The Journal,3704N,0,1.0,
The Journal,3704S,0,1,430
The Journal,3708N,0,1,478
The Journal,3709N,1,1,723
The Journal,3711N,1,1,750
The Journal,3711S,1,1,750
The Journal,3712S,1,1.0,762
The Journal,3715N,0,1,410
The Journal,3802N,1,1,730
The Journal,3804S,0,1,430
The Journal,3807N,2,2,1032
The Journal,3808N,0,1.0,
The Journal,3811S,1,1.0,750
The Journal,3812N,1,1,762
The Journal,3813N,1,1,617
The Journal,3814N,2,2,989
The Journal,3901N,1,1.0,870
The Journal,3902S,1,1,730
The Journal,3903N,0,1,461
The Journal,3903S,0,1,461
The Journal,3904N,0,1,430
The Journal,3907N,2,2.0,1032
The Journal,3910N,1,1,675
The Journal,3910S,1,1.0,675
The Journal,3911N,1,1,750
The Journal,3912S,1,1,762
The Journal,3913N,1,1,617
The Journal,4001N,1,1.0,870
The Journal,4003N,0,1,461
The Journal,4004S,0,1,430
The Journal,4006N,1,1,660
The Journal,4008S,0,1,481
The Journal,4009N,1,1,720
The Journal,4104S,0,1.0,430
The Journal,4106N,1,1,660
The Journal,4107S,2,2,1032
The Journal,4108N,0,1.0,
The Journal,4108S,0,1,481
The Journal,4109S,1,1,720
The Journal,4110N,1,1.0,675
The Journal,4111S,1,1,750
The Journal,4203S,0,1.0,461
The Journal,4204N,0,1,430
The Journal,4208S,0,1.0,481
The Journal,4209N,1,1,720
The Journal,4209S,1,1,720
The Journal,4211N,1,1,750
The Journal,4214N,2,2,989
The Journal,4215N,0,1,410
The Journal,4306N,1,1.0,660
The Journal,4307S,2,2.0,1032
The Journal,4309S,1,1.0,720
The Journal,4314S,2,2.0,989
The Journal,4402N,1,1.0,763
The Journal,4404N,1,1.0,722
The Journal,4406S,1,1,658
The Journal,4408N,0,1,481
The Journal,4501S,1,1,870
The Journal,4502N,1,1,733
The Journal,4505N,1,1,727
The Journal,4505S,1,1.0,727
The Journal,4513S,1,1,617
The Journal,4601S,1,1.0,870
The Journal,4606S,1,1,660
The Journal,4607N,2,2,1032
The Journal,4607S,2,2,1032
The Journal,4608N,0,1,481
The Journal,4612N,1,1,762
The Journal,4613S,1,1,617
The Journal,4701N,1,1,870
The Journal,4702S,1,1,733
The Journal,4704N,0,1,430
The Journal,4706S,1,1.0,660
The Journal,4707N,2,2,1032
The Journal,4709N,1,1,720
The Journal,4712N,1,1,762
The Journal,4713S,1,1,617
The Journal,4715N,0,1,410
The Journal,4715S,0,1,410
The Journal,4802S,1,1,733
The Journal,4804N,0,1,430
The Journal,4806N,1,1,660
The Journal,4806S,1,1.0,
The Journal,4813N,1,1,617
The Journal,4813S,1,1.0,617
The Journal,4814N,2,2.0,
The Journal,4815N,0,1,410
The Journal,4815S,0,1,410
The Journal,4902S,1,1,733
The Journal,4903N,0,1.0,459
The Journal,4904S,0,1,430
The Journal,4905N,1,1,727
The Journal,4906N,1,1,660
The Journal,4906S,1,1.0,
The Journal,4907S,2,2,1032
The Journal,4908N,0,1.0,481
The Journal,4911S,1,1,750
The Journal,4912S,1,1,762
The Journal,4913N,1,1,617
The Journal,4913S,1,1.0,
The Journal,4914N,2,2,989
The Journal,4915N,0,1,410
The Journal,4915S,0,1.0,410
The Journal,5002N,1,1,733
The Journal,5003N,0,1,459
The Journal,5004N,0,1,430
The Journal,5004S,0,1,430
The Journal,5006N,1,1.0,
The Journal,5011S,1,1.0,750
The Journal,5014S,2,2,989
The Journal,5104N,0,1,430
The Journal,5104S,0,1,430
The Journal,5106N,1,1,660
The Journal,5108S,0,1.0,481
The Journal,5109N,1,1.0,720
The Journal,5112S,1,1,762
The Journal,5114S,2,2.0,989
The Journal,5203S,0,1,459
The Journal,5204S,0,1.0,430
The Journal,5206N,1,1.0,660
The Journal,5207N,2,2,1032
The Journal,5209N,1,1.0,720
The Journal,5212S,1,1.0,762
The Journal,5213N,1,1,617
The Journal,5214S,2,2.0,
The Journal,5303S,0,1.0,459
The Journal,5304N,0,1,430
The Journal,5308N,0,1,481
The Journal,5309N,1,1,720
The Journal,5309S,1,1,720
The Journal,5310S,1,1.0,675
The Journal,5312N,1,1,763
The Journal,5313N,1,1,617
The Journal,5314N,2,2,989
The Journal,5315N,0,1,410
The Journal,5401N,1,1.0,870
The Journal,5404N,0,1.0,430
The Journal,5405S,1,1,727
The Journal,5410N,1,1,675
The Journal,5501S,1,1.0,925
The Journal,5504N,0,1.0,430
The Journal,5505N,1,1.0,727
The Journal,5505S,1,1,727
The Journal,5506N,1,1.0,
The Journal,5507N,2,2,1032
The Journal,5510N,1,1,687
The Journal,5513S,1,1,617
The Journal,5515N,0,1,385
The Journal,5602N,1,1.0,733
The Journal,5604N,0,1,430
The Journal,5607N,2,2.0,1032
The Journal,5611N,1,1,758
The Journal,5613S,1,1,617
The Journal,5615N,0,1.0,385
The Journal,5702S,1,1,733
The Journal,5703N,0,1.0,459
The Journal,5704S,0,1,430
The Journal,5706S,1,1,660
The Journal,5708N,0,1,479
The Journal,5711S,1,1,758
The Journal,5713N,1,1,617
The Journal,5713S,1,1,617
The Journal,5714N,2,2,989
The Journal,5802S,1,1,733
The Journal,5804S,0,1,430
The Journal,5806S,1,1,660
The Journal,5811S,1,1,758
The Journal,5812S,1,1,762
The Journal,5813S,1,1,617
The Journal,5815N,0,1.0,385
The Journal,5815S,0,1,385
The Journal,5901N,1,1,925
The Journal,5902S,1,1,733
The Journal,5903S,0,1,459
The Journal,5904S,0,1.0,430
The Journal,5906N,1,1.0,660
The Journal,5906S,1,1.0,660
The Journal,5908N,0,1.0,
The Journal,5911N,1,1,758
The Journal,5911S,1,1,758
The Journal,5912S,1,1,762
The Journal,5914S,2,2.0,989
The Journal,5915N,0,1,385
The Journal,5915S,0,1,385
The Journal,6003S,0,1.0,459
The Journal,6007N,2,2,1032
The Journal,6008S,0,1.0,479
The Journal,6009N,1,1,736
The Journal,6009S,1,1.0,736
The Journal,6010N,1,1,687
The Journal,6010S,1,1.0,687
The Journal,6011S,1,1.0,758
The Journal,6012S,1,1,762
The Journal,6014N,2,2.0,989
The Journal,6015S,0,1.0,385
The Journal,6101S,1,1.0,925
The Journal,6105S,1,1.0,727
The Journal,6108N,0,1,479
The Journal,6109N,1,1.0,736
The Journal,6115N,0,1,385
The Journal,6201S,1,1,925
The Journal,6210N,1,1.0,687
The Journal,6215N,0,1.0,385
The Journal,6301S,1,1,925
The Journal,6302S,1,1,733
The Journal,6303N,0,1.0,459
The Journal,6304N,0,1,430
The Journal,6305S,1,1,727
The Journal,6308N,0,1.0,479
The Journal,6309N,1,1.0,736
The Journal,6313S,1,1,617
The Journal,6315S,0,1,385
Four Twenty Five Summit,0204,0,1.0,439
Four Twenty Five Summit,0211,1,1.0,
Four Twenty Five Summit,0213,1,1.0,762
Four Twenty Five Summit,0219,1,1.0,711
Four Twenty Five Summit,0220,0,1.0,572
Four Twenty Five Summit,0222,0,1,529
Four Twenty Five Summit,0309,0,1.0,515
Four Twenty Five Summit,0312,1,1.0,612
Four Twenty Five Summit,0317,0,1.0,
Four Twenty Five Summit,0318,1,1,756
Four Twenty Five Summit,0320,0,1,577
Four Twenty Five Summit,0415,1,1,650
Four Twenty Five Summit,0419,1,1,719
Four Twenty Five Summit,0421,0,1,635
Four Twenty Five Summit,0501,2,2.0,1129
Four Twenty Five Summit,0503,2,2.0,1022
Four Twenty Five Summit,0509,0,1.0,515
Four Twenty Five Summit,0510,0,1,434
Four Twenty Five Summit,0511,1,1.0,741
Four Twenty Five Summit,0519,1,1,719
Four Twenty Five Summit,0522,0,1,529
Four Twenty Five Summit,0601,2,2,1129
Four Twenty Five Summit,0602,1,1.0,619
Four Twenty Five Summit,0603,2,2,1022
Four Twenty Five Summit,0606,0,1.0,475
Four Twenty Five Summit,0709,0,1,515
Four Twenty Five Summit,0712,1,1,612
Four Twenty Five Summit,0717,0,1.0,
Four Twenty Five Summit,0719,1,1.0,719
Four Twenty Five Summit,0801,2,2.0,1129
Four Twenty Five Summit,0809,0,1,515
Four Twenty Five Summit,0815,1,1,650
Four Twenty Five Summit,0816,1,1.0,
Four Twenty Five Summit,0817,0,1,383
Four Twenty Five Summit,0821,0,1.0,635
Four Twenty Five Summit,0822,0,1,529
Four Twenty Five Summit,0907,1,1.0,653
Four Twenty Five Summit,1001,2,2.0,
Four Twenty Five Summit,1004,0,1.0,565
Four Twenty Five Summit,1006,2,2.0,972
Four Twenty Five Summit,1012,0,1.0,
Four Twenty Five Summit,1102,1,1,639
Four Twenty Five Summit,1103,1,1,616
Four Twenty Five Summit,1106,2,2,972
Four Twenty Five Summit,1107,1,1.0,652
Four Twenty Five Summit,1112,0,1,374
Four Twenty Five Summit,1209,0,1.0,383
Four Twenty Five Summit,1212,0,1,374
Four Twenty Five Summit,1409,0,1.0,383
Four Twenty Five Summit,1410,1,1.0,622
Four Twenty Five Summit,1412,0,1.0,374
Four Twenty Five Summit,1502,1,1.0,639
Four Twenty Five Summit,1508,1,1.0,623
Four Twenty Five Summit,1513,0,1,436
Four Twenty Five Summit,1604,0,1.0,565
Four Twenty Five Summit,1609,0,1,383
Four Twenty Five Summit,1611,0,1,509
Four Twenty Five Summit,1613,0,1,436
Four Twenty Five Summit,1704,0,1.0,565
Four Twenty Five Summit,1709,0,1.0,383
Four Twenty Five Summit,1807,1,1.0,656
Four Twenty Five Summit,1901,2,2.0,1004
Four Twenty Five Summit,1911,0,1.0,509
Four Twenty Five Summit,1912,0,1,374
Four Twenty Five Summit,2003,1,1.0,616
Four Twenty Five Summit,2004,0,1.0,565
Four Twenty Five Summit,2005,1,1.0,627
Four Twenty Five Summit,2008,1,1.0,623
Four Twenty Five Summit,2112,0,1,374
Four Twenty Five Summit,2113,0,1,436
Four Twenty Five Summit,2114,1,1.0,670
Four Twenty Five Summit,2201,2,2,1004
Four Twenty Five Summit,2202,1,1.0,639
Four Twenty Five Summit,2207,1,1.0,652
Four Twenty Five Summit,2213,0,1.0,436
Four Twenty Five Summit,2214,1,1.0,670
Four Twenty Five Summit,2301,3,2,1241
Four Twenty Five Summit,2307,0,1,383
Four Twenty Five Summit,2401,3,2,1241
Four Twenty Five Summit,2407,0,1,383
Four Twenty Five Summit,2410,0,1,374
Four Twenty Five Summit,2412,1,1.0,670
Four Twenty Five Summit,2502,2,2.0,986
Four Twenty Five Summit,2506,1,1.0,623
Four Twenty Five Summit,2508,1,1.0,622
Four Twenty Five Summit,2510,0,1.0,374
Four Twenty Five Summit,2511,0,1.0,436
Four Twenty Five Summit,2512,1,1.0,670
Four Twenty Five Summit,2606,1,1,623
Four Twenty Five Summit,2609,0,1.0,510
Four Twenty Five Summit,PH03,0,1.0,
Four Twenty Five Summit,PH04,0,1.0,374
MetroVue,1006,1,1,562
MetroVue,1110,1,1.0,590
MetroVue,206,1,1.0,562
MetroVue,209,1,1.0,562
MetroVue,406,1,1.0,562
MetroVue,407,1,1,562
MetroVue,5011,1,1.0,540
MetroVue,503,0,1.0,432
MetroVue,505,1,1.0,562
MetroVue,609,1,1,562
Orchard,1012,0,1.0,
Orchard,1014,1,1.0,
Orchard,1215,1,1.0,
Orchard,1225,2,2,
Orchard,1313,0,1.0,
Orchard,1982,0,1,
Orchard,2301,1,1,
Orchard,2604,2,1,
Orchard,3403,2,2.0,
Orchard,3414,1,1,
Orchard,3501,2,1,
Orchard,4093,1,1,
Orchard,4499,1,1,
Orchard,5414,1,1.0,
Orchard,604,2,2.0,
Orchard,6042,1,1,
Orchard,6612,0,1,
Orchard,6994,2,1,
Orchard,7215,1,1,
Orchard,8306,1,1,
Orchard,8518,1,1,
Orchard,9061,1,1,
Orchard,9493,2,2,
Orchard,9814,1,1,
The Greyson,0606,0,1,419
The Greyson,0611,0,1,470
The Greyson,0615,3,2,1103
The Greyson,0801,0,1,392
The Greyson,0809,1,1,740
The Greyson,0817,0,1,444
The Greyson,0821,0,1,549
The Greyson,0902,2,2,886
The Greyson,0912,1,1,671
The Greyson,0920,0,1,428
The Greyson,0923,1,1,688
The Greyson,0924,0,1,470
The Greyson,1003,1,1,
The Greyson,1012,1,1,671
The Greyson,1013,0,1,
The Greyson,1022,0,1,
The Greyson,1101,0,1,
The Greyson,1103,1,1,
The Greyson,1104,0,1,414
The Greyson,1111,0,1,470
The Greyson,1112,1,1,
The Greyson,1117,0,1,
The Greyson,1118,1,1,657
The Greyson,1122,0,1,415
The Greyson,1123,1,1,
The Greyson,1124,0,1,470
The Greyson,1201,0,1.0,
The Greyson,1213,0,1,470
The Greyson,1214,1,1,688
The Greyson,1215,3,2,1103
The Greyson,1401,0,1,
The Greyson,1405,1,1,650
The Greyson,1409,1,1,740
The Greyson,1412,1,1,
The Greyson,1417,0,1,
The Greyson,1601,0,1,
The Greyson,1621,0,1,549
The Greyson,1626,1,1,699
The Greyson,1704,0,1,
The Greyson,1708,2,2,
The Greyson,1723,1,1,
The Greyson,1811,0,1,470
The Greyson,1823,1,1.0,
The Greyson,1902,2,2,886
The Greyson,1906,0,1,419
The Greyson,1907,1,1,629
The Greyson,1912,1,1,671
The Greyson,1913,0,1,
The Greyson,1915,0,1,470
The Greyson,1926,1,1,
The Greyson,2001,0,1,
The Greyson,2004,0,1,
The Greyson,2008,2,2.0,
The Greyson,2010,1,1,672
The Greyson,2012,1,1,671
The Greyson,2018,1,1.0,657
The Greyson,2023,1,1,
The Greyson,2025,1,1,
The Greyson,2104,0,1.0,414
The Greyson,2108,2,2,1079
The Greyson,2109,1,1,
The Greyson,2113,0,1.0,
The Greyson,2120,0,1,
The Greyson,2122,0,1,415
The Greyson,2201,0,1,392
The Greyson,2209,1,1,740
The Greyson,2213,0,1,470
The Greyson,2309,1,1,740
The Greyson,2311,0,1,470
The Greyson,2404,0,1,
The Greyson,2406,0,1,419
The Greyson,2407,1,1,629
The Greyson,2409,1,1,740
The Greyson,2417,0,1,444
The Greyson,2422,0,1,
The Greyson,2425,1,1,770
The Greyson,2505,1,1,650
